#MJD mag magerr flux fluxerr
59079.2147909074 -0.334967637 0.0313341401 1.3614041019 0.0392911733
59079.2148024951 -0.3045917685 0.0308748958 1.3238436828 0.037647173
59079.2148140828 -0.3102627738 0.0311747436 1.3307764584 0.0382118586
59079.2148256705 -0.3065898153 0.0310186386 1.3262821545 0.0378921127
59079.2148372581 -0.3539586134 0.0311775335 1.3854263562 0.0397846335
59079.2148488458 -0.3361595591 0.0311567176 1.3628994731 0.0391116091
59079.2148604335 -0.3524910278 0.0311995158 1.3835549456 0.0397589061
59079.2148720212 -0.3295528819 0.0310651951 1.3546314453 0.0387601457
59079.2148836089 -0.3434578826 0.0315285925 1.3720917499 0.0398453732
59079.2148951966 -0.3527489175 0.0313173568 1.3838836138 0.0399185566
59079.2149067843 -0.347453238 0.0313703091 1.3771501546 0.0397914949
59079.2149183719 -0.3473209248 0.0312018329 1.3769823385 0.0395729694
59079.2149299596 -0.3635670123 0.031816927 1.397741323 0.0409614384
59079.2149415473 -0.3305073644 0.0313223444 1.3558228402 0.0391153633
59079.214953135 -0.3683476207 0.0308808795 1.4039092913 0.0399317985
59079.2149647227 -0.2926262445 0.0311207775 1.3093341576 0.0375310832
59079.2149763104 -0.3591580898 0.0308773187 1.392076929 0.0395906816
59079.2149878981 -0.3129829367 0.0312309557 1.334114716 0.038376787
59079.2149994857 -0.349489096 0.0312808436 1.3797348639 0.0397524827
59079.2150110734 -0.3478239735 0.0310250093 1.3776204766 0.0393669413
59079.2150226611 -0.346016374 0.0312873187 1.3753288386 0.0396337402
59079.2150342488 -0.3562384597 0.0313369674 1.3883385532 0.0400721377
59079.2150458365 -0.3369951138 0.031393383 1.3639487292 0.0394390392
59079.2150574242 -0.3527436629 0.0314715677 1.3838769163 0.0401149268
59079.2150690119 -0.3726909071 0.0311734774 1.4095366182 0.0404717306
59079.2150805995 -0.3441641175 0.0310074985 1.3729845399 0.0392123202
59079.2150921872 -0.3658859897 0.0312629092 1.4007298893 0.0403342464
59079.2151037749 -0.3382962136 0.0313460598 1.3655842068 0.0394268068
59079.2151153626 -0.3475062686 0.0313213208 1.3772174204 0.0397312966
59079.2151269503 -0.3529590868 0.0312980011 1.3841515224 0.039901608
59079.215138538 -0.3590652775 0.031963382 1.3919579347 0.0409797211
59079.2151501256 -0.3425245216 0.0319640389 1.3709127281 0.0403609725
59079.2151617133 -0.3426487977 0.031664183 1.3710696552 0.0399869213
59079.215173301 -0.3459615605 0.0313523003 1.3752594067 0.0397140516
59079.2151848887 -0.3396696263 0.031181093 1.367312709 0.0392689553
59079.2151964764 -0.3184654023 0.031760413 1.3408684154 0.0392249559
59079.2152080641 -0.303297477 0.0312554364 1.3222664869 0.0380657788
59079.2152196518 -0.3472930278 0.0315579983 1.3769469587 0.0400236619
59079.2152312394 -0.3771188575 0.0315117886 1.4152968596 0.041078139
59079.2152428271 -0.3380744619 0.0312565361 1.3653053271 0.039306176
59079.2152544148 -0.3993613815 0.0314178002 1.4445898284 0.0418032924
59079.2152660025 -0.3261967202 0.0311605265 1.3504505562 0.0387590959
59079.2152775902 -0.2958382241 0.0309255714 1.3132133517 0.0374061649
59079.2152891779 -0.3213553416 0.0311739188 1.3444422024 0.0386032349
59079.2153007656 -0.376279642 0.0316330353 1.4142033341 0.0412043327
59079.2153123532 -0.3302859872 0.0316498931 1.3555464216 0.0395163482
59079.2153239409 -0.3432053714 0.0312412718 1.3717726777 0.0394730801
59079.2153355286 -0.37704807 0.0317996813 1.4152045885 0.0414507276
59079.2153471163 -0.322940471 0.031185141 1.3464064653 0.0386735521
59079.215358704 -0.3300381027 0.0314389234 1.355236972 0.039243982
59079.2153702917 -0.3373368258 0.0315479134 1.3643780701 0.0396456491
59079.2153818794 -0.401635592 0.0316082535 1.4476188741 0.0421448875
59079.215393467 -0.3178291607 0.0313581933 1.3400828964 0.0387055158
59079.2154050547 -0.3400625967 0.0310496228 1.3678076824 0.0391175394
59079.2154166424 -0.3308739091 0.0313740384 1.3562806434 0.0391931482
59079.2154282301 -0.3625324745 0.0313561703 1.3964101272 0.0403298092
59079.2154398178 -0.3937935277 0.0314596912 1.4372006702 0.0416449196
59079.2154514055 -0.3725496108 0.0315504565 1.4093531948 0.0409558227
59079.2154629931 -0.3438365596 0.0315209688 1.372570384 0.0398496346
59079.2154745808 -0.3502450783 0.031264609 1.3806958877 0.0397595257
59079.2154861685 -0.3708370389 0.0312778988 1.4071319222 0.0405380215
59079.2154977562 -0.3589437631 0.0315230288 1.391802157 0.0404106286
59079.2155093439 -0.3533135556 0.0312109361 1.3846034909 0.0398036023
59079.2155209316 -0.3573244282 0.0313659952 1.3897278835 0.040149395
59079.2155325193 -0.3686495591 0.0315337519 1.4042997665 0.0407873634
59079.2155441069 -0.3532071714 0.0309713221 1.3844678294 0.0394941505
59079.2155556946 -0.3511713265 0.0309522322 1.3818742703 0.0393958675
59079.2155672823 -0.4170909747 0.0314510572 1.4683729988 0.0425365047
59079.21557887 -0.3795763884 0.031178556 1.4185039692 0.0407358436
59079.2155904577 -0.3343099181 0.0315105546 1.3605796383 0.0394884581
59079.2156020454 -0.3378024166 0.0311827021 1.364963275 0.039203503
59079.2156136331 -0.3393237477 0.0311347598 1.366877199 0.0391981148
59079.2156252207 -0.3472380357 0.0314510927 1.3768772185 0.0398860578
59079.2156368084 -0.3607453869 0.0313094665 1.3941135707 0.0402035112
59079.2156483961 -0.3515456279 0.0309028106 1.3823507458 0.039346526
59079.2156697454 -0.3573686627 0.0311871772 1.3897845042 0.0399221291
59079.2156813331 -0.355576623 0.0308596258 1.3874925158 0.0394376898
59079.2156929207 -0.3473876272 0.0309655388 1.3770669362 0.0392756928
59079.2157045084 -0.3674552427 0.031191043 1.4027558776 0.0402997318
59079.2157160961 -0.3327685661 0.0310142716 1.3586494786 0.0388113879
59079.2157276838 -0.3583432675 0.0310524219 1.3910325963 0.0397853284
59079.2157392715 -0.3223992311 0.0308160597 1.3457354484 0.0381967983
59079.2157508592 -0.3693971263 0.0315512105 1.4052670088 0.0408380539
59079.2157624469 -0.3297732539 0.0312290787 1.3549064229 0.0389725332
59079.2157740345 -0.331827895 0.0311715733 1.3574728679 0.0389744542
59079.2157856222 -0.3270807476 0.0312021698 1.3515505669 0.0388425074
59079.2157972099 -0.3388587655 0.0314647282 1.3662919394 0.0395965778
