#MJD mag magerr flux fluxerr
59079.2159893946 2.6389126763 0.015416922 0.0879903266 0.0012494612
59079.2160009758 2.6372830013 0.0153900821 0.088122498 0.0012491595
59079.2160125571 2.6239562668 0.0154374149 0.0892108122 0.0012684759
59079.2160241384 2.6267551363 0.0153467631 0.0889811359 0.0012577806
59079.2160357197 2.6304618329 0.0153705317 0.0886778728 0.0012554353
59079.216047301 2.6473066339 0.0154585007 0.0873126856 0.0012431825
59079.2160588823 2.6194811728 0.0152968717 0.0895792725 0.001262119
59079.2160704635 2.6175179281 0.0152402315 0.0897413976 0.0012597215
59079.2160820448 2.6373736358 0.0154872237 0.088115142 0.0012569392
59079.2160936261 2.6638073133 0.0156172799 0.0859957671 0.0012370083
59079.2161052074 2.6173593669 0.01526311 0.0897545044 0.0012617969
59079.2161167887 2.6550137653 0.0155849788 0.0866950884 0.0012444885
59079.21612837 2.6237077439 0.0156109481 0.0892312347 0.0012830286
59079.2161399513 2.6451270929 0.0156200764 0.0874881358 0.0012587007
59079.2161515325 2.6338473733 0.0154868653 0.0884017883 0.001260999
59079.2161631138 2.6447589366 0.0155732449 0.0875178067 0.0012553525
59079.2161746951 2.6374853124 0.0155736107 0.0881060792 0.0012638204
59079.2161862764 2.6451902791 0.0155315981 0.0874830445 0.0012514981
59079.2161978577 2.6505462546 0.015658005 0.0870525502 0.0012554751
59079.216209439 2.6376348244 0.0154286735 0.0880939473 0.0012518861
59079.2162210203 2.6195406101 0.0152697885 0.0895743687 0.0012598155
59079.2162326015 2.6439971996 0.0155840332 0.0875792295 0.0012571038
59079.2162441828 2.6261796894 0.0153255003 0.0890283089 0.0012567039
59079.2162557641 2.6403835793 0.015485007 0.0878712022 0.0012532801
59079.2162673454 2.6380637126 0.0155185916 0.0880591552 0.0012586848
59079.2162789267 2.6310478942 0.0154289277 0.088630019 0.0012595249
59079.216290508 2.6213871351 0.015401387 0.0894221579 0.0012685136
59079.2163020892 2.6233580707 0.0153886814 0.0892599772 0.0012651684
59079.2163136705 2.6421650684 0.0154869084 0.0877271403 0.001251379
59079.2163252518 2.6307420578 0.0153145404 0.0886549883 0.0012505392
59079.2163368331 2.6327443482 0.0154262792 0.0884916434 0.0012573425
59079.2163484144 2.6367093742 0.0154595793 0.088169068 0.0012554635
59079.2163599957 2.6413160539 0.0153935448 0.0877957672 0.001244808
59079.2163715769 2.6385531691 0.0154749494 0.0880194666 0.0012545793
59079.2163831582 2.625809476 0.0154016939 0.0890586709 0.0012633825
59079.2163947395 2.647406462 0.0155262397 0.087304658 0.0012485153
